title, price, discount, link

HyperX Cloud II - Gaming Headset/ 7.1 Surround Sound/ Memory Foam Ear Pads/ Durable Aluminum Frame/ Detachable Microphone/ Works with PC/ PS5/ PS4/ Xbox Series X|S/ Xbox One – Red, $99.99, 36, amazon.com/HyperX-Cloud-Gaming-Headset-KHX-HSCP-RD/dp/B00SAYCXWG/ref=sr_1_1?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-1
HyperX Cloud Alpha Wireless - Gaming Headset for PC/ 300-hour battery life/ DTS Headphone:X Spatial Audio/ Memory foam/ Dual Chamber Drivers/ Noise-canceling mic/ Durable aluminum frame/Red, $199.99, 22, amazon.com/HyperX-Cloud-Alpha-Wireless-Noise-canceling/dp/B09TRW57WB/ref=sr_1_2?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-2
PS5 Controller Charger Station with Fast Charging AC Adapter 5V/3A/ Dual Controller Charging Stand for Playstation 5/ Docking Station Replacement for DualSense Charging Station, $24.99, 25, amazon.com/OIVO-Controller-Compatible-Playstation-Indicators/dp/B08LZGPPBH/ref=sr_1_3?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-3
JBL Quantum 100 - Wired Over-Ear Gaming Headphones - Black/ Large, $39.95, 38, amazon.com/JBL-Quantum-100-Over-Ear-Headphones/dp/B084CWCJTW/ref=sr_1_4?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-4
FIFINE Gaming USB Microphone for PC PS5/ Condenser Mic with Quick Mute/ RGB Indicator/ Tripod Stand/ Pop Filter/ Shock Mount/ Gain Control for Streaming Discord Twitch Podcasts Videos- AmpliGame, $34.99, 20, amazon.com/Microphone-FIFINE-Condenser-Indicator-Streaming/dp/B09JG62KDJ/ref=sr_1_5?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-5
SENZER SG500 Surround Sound Pro Gaming Headset with Noise Cancelling Microphone - Detachable Memory Foam Ear Pads - Portable Foldable Headphones for PC/ PS4/ PS5/ Xbox One/ Switch - Black, $29.99, 20, amazon.com/SENZER-SG500-Surround-Cancelling-Microphone/dp/B08FX35S7K/ref=sr_1_6?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-6
W&O Wireless Controller Compatible with Xbox 360 2.4GHZ Gamepad Joystick Wireless Controller Compatible with Xbox 360 and PC Windows 7/8/10/11 with Receiver (Black), $22.99, 10, amazon.com/Wireless-Controller-Compatible-Joystick-Receiver/dp/B09WQGQ6D2/ref=sr_1_7?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-7
Cooling Fan Dust Proof for Xbox Series X Console with Colorful Light Strip/MENEEA Dust Cover Filter/Rubber Dust Plugs/Low Noise Top Fan with 3 Gears/Cooler&Light Independent Touch Switch/ 2 USB Port, $36.99, 20, amazon.com/Cooling-Console-Colorful-MENEEA-Independent/dp/B09Z2B2LRX/ref=sr_1_8?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-8
PC Gaming Headset Headphone Hook Holder Hanger Mount/ Headphones Stand with Adjustable & Rotating Arm Clamp/ Under Desk Design/ Universal Fit/ Built in Cable Clip Organizer EURPMASK, $14.99, 44, amazon.com/Headphone-Headphones-Adjustable-Universal-EURPMASK/dp/B07BVK2FQW/ref=sr_1_9?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-9
